emp_id	fname	minit	lname	job_id	job_lvl	pub_id	hire_date
PMA42628M	Paolo	M	Accorti	13	35	0877	1992-08-27 00:00:00.000
PSA89086M	Pedro	S	Afonso	14	89	1389	1990-12-24 00:00:00.000
VPA30890F	Victoria	P	Ashworth	6	140	0877	1990-09-13 00:00:00.000
H-B39728F	Helen	Bennett	12	35	08	77	1989-09-21 00:00:00.000
L-B31947F	Lesley	Brown	7	120	08	77	1991-02-13 00:00:00.000
F-C16315M	Francisco	Chang	4	227	99	52	1990-11-03 00:00:00.000
PTC11962M	Philip	T	Cramer	2	215	9952	1989-11-11 00:00:00.000
A-C71970F	Aria	Cruz	10	87	13	89	1991-10-26 00:00:00.000
AMD15433F	Ann	M	Devon	3	20099	52	1991-07-16 00:00:00.000
ARD36773F	Anabela	R	Domingues	8	100	0877	1993-01-27 00:00:00.000
